experimento;dataset;estructura_datos;clave;cantidad_tweets;repeticion;tiempo_ms;memoria_bytes
1;auspol2019.csv;hashing_abierto;user_id;10000;1;6.284;452208
2;auspol2019.csv;hashing_abierto;user_id;10000;2;5.955;452208
3;auspol2019.csv;hashing_abierto;user_id;10000;3;6.303;452208
4;auspol2019.csv;hashing_abierto;user_id;10000;4;7.332;452208
5;auspol2019.csv;hashing_abierto;user_id;10000;5;6.652;452208
6;auspol2019.csv;hashing_abierto;user_id;10000;6;6.477;452208
7;auspol2019.csv;hashing_abierto;user_id;10000;7;6.501;452208
8;auspol2019.csv;hashing_abierto;user_id;10000;8;6.962;452208
9;auspol2019.csv;hashing_abierto;user_id;10000;9;6.806;452208
10;auspol2019.csv;hashing_abierto;user_id;10000;10;6.912;452208
11;auspol2019.csv;hashing_abierto;user_id;10000;11;6.891;452208
12;auspol2019.csv;hashing_abierto;user_id;10000;12;7.036;452208
13;auspol2019.csv;hashing_abierto;user_id;10000;13;6.858;452208
14;auspol2019.csv;hashing_abierto;user_id;10000;14;6.995;452208
15;auspol2019.csv;hashing_abierto;user_id;10000;15;6.997;452208
16;auspol2019.csv;hashing_abierto;user_id;10000;16;6.954;452208
17;auspol2019.csv;hashing_abierto;user_id;10000;17;6.891;452208
18;auspol2019.csv;hashing_abierto;user_id;10000;18;6.807;452208
19;auspol2019.csv;hashing_abierto;user_id;10000;19;6.741;452208
20;auspol2019.csv;hashing_abierto;user_id;10000;20;7.059;452208
21;auspol2019.csv;hashing_abierto;user_id;20000;1;14.409;795824
22;auspol2019.csv;hashing_abierto;user_id;20000;2;13.296;795824
23;auspol2019.csv;hashing_abierto;user_id;20000;3;15.212;795824
24;auspol2019.csv;hashing_abierto;user_id;20000;4;15.292;795824
25;auspol2019.csv;hashing_abierto;user_id;20000;5;14.634;795824
26;auspol2019.csv;hashing_abierto;user_id;20000;6;15.117;795824
27;auspol2019.csv;hashing_abierto;user_id;20000;7;13.945;795824
28;auspol2019.csv;hashing_abierto;user_id;20000;8;14.894;795824
29;auspol2019.csv;hashing_abierto;user_id;20000;9;15.307;795824
30;auspol2019.csv;hashing_abierto;user_id;20000;10;13.923;795824
31;auspol2019.csv;hashing_abierto;user_id;20000;11;15.344;795824
32;auspol2019.csv;hashing_abierto;user_id;20000;12;13.263;795824
33;auspol2019.csv;hashing_abierto;user_id;20000;13;12.979;795824
34;auspol2019.csv;hashing_abierto;user_id;20000;14;13.605;795824
35;auspol2019.csv;hashing_abierto;user_id;20000;15;13.433;795824
36;auspol2019.csv;hashing_abierto;user_id;20000;16;13.581;795824
37;auspol2019.csv;hashing_abierto;user_id;20000;17;13.495;795824
38;auspol2019.csv;hashing_abierto;user_id;20000;18;13.283;795824
39;auspol2019.csv;hashing_abierto;user_id;20000;19;12.929;795824
40;auspol2019.csv;hashing_abierto;user_id;20000;20;13.568;795824
41;auspol2019.csv;hashing_abierto;user_id;30000;1;20.538;1052808
42;auspol2019.csv;hashing_abierto;user_id;30000;2;23.604;1052808
43;auspol2019.csv;hashing_abierto;user_id;30000;3;20.720;1052808
44;auspol2019.csv;hashing_abierto;user_id;30000;4;21.373;1052808
45;auspol2019.csv;hashing_abierto;user_id;30000;5;21.932;1052808
46;auspol2019.csv;hashing_abierto;user_id;30000;6;22.385;1052808
47;auspol2019.csv;hashing_abierto;user_id;30000;7;22.911;1052808
48;auspol2019.csv;hashing_abierto;user_id;30000;8;23.529;1052808
49;auspol2019.csv;hashing_abierto;user_id;30000;9;21.539;1052808
50;auspol2019.csv;hashing_abierto;user_id;30000;10;22.191;1052808
51;auspol2019.csv;hashing_abierto;user_id;30000;11;22.538;1052808
52;auspol2019.csv;hashing_abierto;user_id;30000;12;25.994;1052808
53;auspol2019.csv;hashing_abierto;user_id;30000;13;22.683;1052808
54;auspol2019.csv;hashing_abierto;user_id;30000;14;20.654;1052808
55;auspol2019.csv;hashing_abierto;user_id;30000;15;19.759;1052808
56;auspol2019.csv;hashing_abierto;user_id;30000;16;21.993;1052808
57;auspol2019.csv;hashing_abierto;user_id;30000;17;20.481;1052808
58;auspol2019.csv;hashing_abierto;user_id;30000;18;21.718;1052808
59;auspol2019.csv;hashing_abierto;user_id;30000;19;21.132;1052808
60;auspol2019.csv;hashing_abierto;user_id;30000;20;19.616;1052808
61;auspol2019.csv;hashing_abierto;user_id;40000;1;32.820;1218904
62;auspol2019.csv;hashing_abierto;user_id;40000;2;28.575;1218904
63;auspol2019.csv;hashing_abierto;user_id;40000;3;29.955;1218904
64;auspol2019.csv;hashing_abierto;user_id;40000;4;30.711;1218904
65;auspol2019.csv;hashing_abierto;user_id;40000;5;30.860;1218904
66;auspol2019.csv;hashing_abierto;user_id;40000;6;30.759;1218904
67;auspol2019.csv;hashing_abierto;user_id;40000;7;30.366;1218904
68;auspol2019.csv;hashing_abierto;user_id;40000;8;35.198;1218904
69;auspol2019.csv;hashing_abierto;user_id;40000;9;31.896;1218904
70;auspol2019.csv;hashing_abierto;user_id;40000;10;27.643;1218904
71;auspol2019.csv;hashing_abierto;user_id;40000;11;28.962;1218904
72;auspol2019.csv;hashing_abierto;user_id;40000;12;28.078;1218904
73;auspol2019.csv;hashing_abierto;user_id;40000;13;29.663;1218904
74;auspol2019.csv;hashing_abierto;user_id;40000;14;30.951;1218904
75;auspol2019.csv;hashing_abierto;user_id;40000;15;30.559;1218904
76;auspol2019.csv;hashing_abierto;user_id;40000;16;28.353;1218904
77;auspol2019.csv;hashing_abierto;user_id;40000;17;30.309;1218904
78;auspol2019.csv;hashing_abierto;user_id;40000;18;31.487;1218904
79;auspol2019.csv;hashing_abierto;user_id;40000;19;31.007;1218904
80;auspol2019.csv;hashing_abierto;user_id;40000;20;31.140;1218904
81;auspol2019.csv;hashing_abierto;user_id;50000;1;42.362;1373968
82;auspol2019.csv;hashing_abierto;user_id;50000;2;39.500;1373968
83;auspol2019.csv;hashing_abierto;user_id;50000;3;37.168;1373968
84;auspol2019.csv;hashing_abierto;user_id;50000;4;35.572;1373968
85;auspol2019.csv;hashing_abierto;user_id;50000;5;40.271;1373968
86;auspol2019.csv;hashing_abierto;user_id;50000;6;38.595;1373968
87;auspol2019.csv;hashing_abierto;user_id;50000;7;37.276;1373968
88;auspol2019.csv;hashing_abierto;user_id;50000;8;39.157;1373968
89;auspol2019.csv;hashing_abierto;user_id;50000;9;39.912;1373968
90;auspol2019.csv;hashing_abierto;user_id;50000;10;39.833;1373968
91;auspol2019.csv;hashing_abierto;user_id;50000;11;39.406;1373968
92;auspol2019.csv;hashing_abierto;user_id;50000;12;39.771;1373968
93;auspol2019.csv;hashing_abierto;user_id;50000;13;39.795;1373968
94;auspol2019.csv;hashing_abierto;user_id;50000;14;36.088;1373968
95;auspol2019.csv;hashing_abierto;user_id;50000;15;35.354;1373968
96;auspol2019.csv;hashing_abierto;user_id;50000;16;37.022;1373968
97;auspol2019.csv;hashing_abierto;user_id;50000;17;39.842;1373968
98;auspol2019.csv;hashing_abierto;user_id;50000;18;39.473;1373968
99;auspol2019.csv;hashing_abierto;user_id;50000;19;39.349;1373968
100;auspol2019.csv;hashing_abierto;user_id;50000;20;56.534;1373968
101;auspol2019.csv;hashing_abierto;user_id;60000;1;85.199;1546840
102;auspol2019.csv;hashing_abierto;user_id;60000;2;57.293;1546840
103;auspol2019.csv;hashing_abierto;user_id;60000;3;48.267;1546840
104;auspol2019.csv;hashing_abierto;user_id;60000;4;55.608;1546840
105;auspol2019.csv;hashing_abierto;user_id;60000;5;50.014;1546840
106;auspol2019.csv;hashing_abierto;user_id;60000;6;51.175;1546840
107;auspol2019.csv;hashing_abierto;user_id;60000;7;55.325;1546840
108;auspol2019.csv;hashing_abierto;user_id;60000;8;68.387;1546840
109;auspol2019.csv;hashing_abierto;user_id;60000;9;66.965;1546840
110;auspol2019.csv;hashing_abierto;user_id;60000;10;76.617;1546840
111;auspol2019.csv;hashing_abierto;user_id;60000;11;58.354;1546840
112;auspol2019.csv;hashing_abierto;user_id;60000;12;64.455;1546840
